dates,times,flow
6/5/14,7:15:14,65.4276
6/5/14,7:15:31,60.1044
6/5/14,7:18:18,54.1879
6/5/14,7:18:23,48.7164
6/5/14,7:18:34,43.3107
6/5/14,7:18:43,36.8998
6/5/14,7:18:45,25.4624
6/5/14,7:18:46,16.6453
6/5/14,7:18:49,0
6/5/14,7:52:05,7.6305
6/5/14,7:52:07,23.7978
6/5/14,7:52:10,41.5968
6/5/14,7:52:11,50.6446
6/5/14,7:52:12,58.5222
6/5/14,7:52:13,64.0762
6/5/14,7:52:15,71.0474
6/5/14,7:52:16,78.3153
6/5/14,7:53:03,173.0782
6/5/14,7:53:05,213.7191
6/5/14,7:53:06,203.5341
6/5/14,7:53:11,198.1286
6/5/14,7:53:13,193.0526
6/5/14,7:53:16,185.7023
6/5/14,7:53:21,180.6757
6/5/14,7:53:33,191.4869
6/5/14,7:53:34,197.8154
6/5/14,7:54:00,204.0286
6/5/14,7:54:01,209.6484
6/5/14,7:54:02,202.6936
6/5/14,7:54:03,185.9989
6/5/14,7:54:04,162.3659
6/5/14,7:54:05,155.9879
6/5/14,7:54:06,149.9396
6/5/14,7:54:07,137.4803
6/5/14,7:54:08,110.304
6/5/14,7:54:09,95.8341
6/5/14,7:54:10,112.0509
6/5/14,7:54:11,136.6233
6/5/14,7:54:12,154.0762
6/5/14,7:54:14,169.3371
6/5/14,7:54:17,182.4556
6/5/14,7:54:31,189.3115
6/5/14,7:54:33,195.9531
6/5/14,7:54:39,159.2346
6/5/14,7:54:40,167.31
6/5/14,7:54:41,174.545
6/5/14,7:54:43,156.301
6/5/14,7:54:45,162.7779
6/5/14,7:54:46,168.2329
6/5/14,7:54:47,183.2137
6/5/14,7:54:48,173.9846
6/5/14,7:54:54,180.6427
6/5/14,7:55:08,185.7847
6/5/14,7:55:10,173.9681
6/5/14,7:55:12,179.0112
6/5/14,7:55:25,184.1861
6/5/14,7:55:27,174.3307
6/5/14,7:55:31,179.4232
6/5/14,7:55:32,188.2567
6/5/14,7:55:33,182.5215
6/5/14,7:55:34,174.7098
6/5/14,7:55:37,166.486
6/5/14,7:55:38,172.5343
6/5/14,7:55:39,152.8566
6/5/14,7:55:40,165.4477
6/5/14,7:55:41,177.1159
6/5/14,7:55:44,185.0266
6/5/14,7:55:48,176.4897
6/5/14,7:55:55,182.4721
6/5/14,7:56:08,175.8469
6/5/14,7:56:09,164.1787
6/5/14,7:56:11,138.0406
6/5/14,7:56:18,81.5785
6/5/14,7:56:19,32.2359
6/5/14,7:56:20,16.1344
6/5/14,7:56:22,10.8277
6/5/14,7:56:24,5.488
6/5/14,7:56:26,21.4906
6/5/14,7:56:27,29.2529
6/5/14,7:56:29,59.5605
6/5/14,7:56:32,52.1278
6/5/14,7:57:04,46.9035
6/5/14,7:58:33,52.1278
6/5/14,7:58:36,46.3596
6/5/14,7:58:41,41.3001
6/5/14,7:58:45,32.0546
6/5/14,7:58:48,23.9132
6/5/14,7:58:50,16.7771
6/5/14,7:58:52,7.169
6/5/14,7:58:53,0
6/5/14,8:53:56,6.7405
6/5/14,8:53:57,12.9042
6/5/14,8:53:58,21.4411
6/5/14,8:53:59,27.8356
6/5/14,8:54:02,37.3613
6/5/14,8:54:03,46.3761
6/5/14,8:54:04,54.6329
